iter	RMSE
0	0.01814312158
1	0.01761507272
2	0.01710201341
3	0.01660435433
4	0.01612014322
5	0.0156515605
6	0.01519876136
7	0.01475903994
8	0.01433101463
9	0.01391704741
10	0.01351553863
11	0.01312870313
12	0.01274800448
13	0.0123796664
14	0.01202388145
15	0.01167596542
16	0.01134192285
17	0.01101843639
18	0.01070405305
19	0.01039537792
20	0.01009929462
21	0.009809662856
22	0.009532479085
23	0.009261040145
24	0.008997985932
25	0.008744016294
26	0.008494246568
27	0.00825368465
28	0.008020921183
29	0.007795076728
30	0.007574233297
31	0.007363533042
32	0.007157127125
33	0.006957964575
34	0.00676196814
35	0.006576022813
36	0.006397124189
37	0.006222974993
38	0.006052637696
39	0.005887966184
40	0.005727263962
41	0.005570137452
42	0.005418456274
43	0.005271538374
44	0.005128985851
45	0.004992163299
46	0.004858115388
47	0.004730794725
48	0.004607765086
49	0.004486743069
50	0.004370132622
51	0.00425629856
52	0.004147725678
53	0.004041426557
54	0.003939421673
55	0.003839429737
56	0.003744388815
57	0.003652537684
58	0.003561559013
59	0.003474043018
60	0.003390019302
61	0.003309104182
62	0.003232487148
63	0.003155876747
64	0.003081954241
65	0.003012043642
66	0.002944379367
67	0.00287902095
68	0.002815436606
69	0.002753691401
70	0.002694083788
71	0.00263657271
72	0.002583562719
73	0.002529928747
74	0.002478230555
75	0.002428576952
76	0.002380875805
77	0.002334853286
78	0.002291610197
79	0.00224876472
80	0.002207229305
81	0.002167751026
82	0.002130090093
83	0.002093182526
84	0.002059415886
85	0.002026801339
86	0.001994386382
87	0.001963071773
88	0.00193395638
89	0.001905836698
90	0.001878271051
91	0.001852211724
92	0.001827439009
93	0.001802440583
94	0.001779441036
95	0.001757190386
96	0.001736662316
97	0.001715546506
98	0.001695888105
99	0.00167768369
100	0.001660156647
101	0.001643517219
102	0.001627072087
103	0.001611487878
104	0.001596261199
105	0.001581744582
106	0.001567480513
107	0.001554196032
108	0.001541586343
109	0.00152828601
110	0.00151675416
111	0.00150450365
112	0.001493893082
113	0.001483669019
114	0.001473623948
115	0.001464411617
116	0.001455605274
117	0.001447034916
118	0.001439541033
119	0.001432109651
120	0.001424492768
121	0.001417581523
122	0.001411259469
123	0.001404518554
124	0.001397933532
125	0.001392068444
126	0.001386250632
127	0.001380724664
128	0.001375060939
129	0.001370083889
130	0.001365225831
131	0.001360908909
132	0.001356338109
133	0.001352320927
134	0.001348319021
135	0.001344342155
136	0.001340518529
137	0.001336751996
138	0.001332463294
139	0.001329350804
140	0.001326323466
141	0.001323534421
142	0.001319779131
143	0.001317060125
144	0.001313713522
145	0.001310969187
146	0.001307528349
147	0.001305129758
148	0.001303137907
149	0.001300245841
150	0.001297786303
151	0.001295581117
152	0.001293666394
153	0.001291470484
154	0.001289567974
155	0.001288026173
156	0.001285407548
157	0.001283799093
158	0.00128220686
159	0.001280660955
160	0.001279571746
161	0.001277911987
162	0.001275393272
163	0.001274136056
164	0.001272623623
165	0.001271608402
166	0.001270359637
167	0.001268421712
168	0.001267218123
169	0.001265432835
170	0.001264655533
171	0.00126348648
172	0.001262594961
173	0.001261675535
174	0.001260651176
175	0.00126000579
176	0.001259403389
177	0.001257277851
178	0.001255786198
179	0.001255173958
180	0.001253606013
181	0.001253041339
182	0.001251793848
183	0.001251291804
184	0.001250181371
185	0.001248888088
186	0.001248012181
187	0.001247553133
188	0.001247018435
189	0.001246506972
190	0.001245341805
191	0.001243564919
192	0.001243018327
193	0.001241757402
194	0.00124106179
195	0.001240629267
196	0.001239940932
197	0.001238449203
198	0.001237874943
199	0.001237253136
200	0.001236363964
201	0.001235601019
202	0.001233821768
203	0.001233106714
204	0.001232691832
205	0.001231278849
206	0.001230699451
207	0.001229727298
208	0.001228905973
209	0.001227407216
210	0.001227145675
211	0.001226939987
212	0.001226343585
213	0.001225984687
214	0.00122413699
215	0.00122313661
216	0.001223042947
217	0.001221847331
218	0.001221398738
219	0.001220138349
220	0.00121961195
221	0.001218775714
222	0.001218194847
223	0.00121707515
224	0.001216542798
225	0.001216489512
226	0.001216379975
227	0.001215021483
228	0.001214651213
229	0.001213644209
230	0.001213562151
231	0.00121325228
232	0.001212202513
233	0.001211407105
234	0.001210536677
235	0.001210383018
236	0.001209760513
237	0.001209191682
238	0.001208676744
239	0.001207706181
240	0.001207287281
241	0.001207013447
242	0.001206499022
243	0.001205685026
244	0.001205534504
245	0.001204823663
246	0.00120308061
247	0.00120287872
248	0.00120276635
249	0.001202758968
250	0.001201999412
251	0.001201361646
252	0.001201175652
253	0.001200287603
254	0.001199577425
255	0.001199268296
256	0.00119892506
257	0.001198377042
258	0.001198238776
